,content,label
0,﻿哈哈 //@Carrie高洁: 哈哈哈哈，太罪恶了啊！以后叫外卖回家捞吧！不过...某人今天和你一样[泪]！@flame_张宏涛,0
1,今年赶上沙尘暴没？我离开的那天，不能呼吸，我能拍照，不敢说话，黑城在风沙中被淹没[衰] //@贝姨:醉美胡杨林，今年也去了，很美~  //@中国摄影师联盟:#参展作品#【第五届微摄影展赛 ? 金秋时节 】《胡杨林》摄影：北京-橙色咖啡（女）北京,0
2,这是带头要让人民币升值啊！ //@互联网的那点事:充值面额目前支持 50元，100元，300元 和 500元 ！ 关于定价 $0.99 的应用，中国区定价 ? 6 元。 $1.99 的应用，中国区定价 ? 12 元。 [泪],0
3,[蜡烛] //@yangfan:[蜡烛] //@谭红梅1127: [蜡烛]//@发光的大金子: [蜡烛]//@qiaotengfei: [蜡烛]//@司徒南:[蜡烛]//@sina坊间八卦: 据最新线报，保安张师傅昨天下午去世了[泪][蜡烛],0
4,邻居妈妈有两个孩子，男宝宝好像是四岁了，经常喜欢在他妈妈开门的时候学着样子来敲我家的门，好几次都被吓一跳，隔着门会听到他妈妈不厌其烦地说＂宝宝这不是我们家的门你再敲就会有大灰狼出来吃你！＂，结果今天回家早在楼道碰到了男宝宝盯着我跟他妹小声说了句＂大灰狼变的..＂我瞬间石化[泪][泪],0
5,不存在！[哈哈]//@威笑1007:@锐子-_- @如果是你我便爱你 [衰][衰] //@史上第一最最搞:保护好乳头~,0
6,边间公司感X爱国啊！！！//@ray周: 爱国表演收工 //@大魔王萨莉莱:[怒][怒][怒] //@婆Paul: 边间公关公司组织到甘多人啊？//@xi_蚊_fat: [懒得理你]都话嘎啦。。。无钱鬼同你系街到行咩~~,0
7,竟然有这种动画片，太有创意了 你绝对没看过！！！[晕]  http://sinaurl.cn/GwmIv,0
8,是【后37集】，也就是【4-40集】的公式，不是【第37集】啊华罗庚们！#我们文科生的表述真的弱爆了#[泪] //@六小岩: 勾股定理，arcsin（3÷5）＝37°我觉得财神爷就是这么想的。。[嘻嘻],0
9,[泪]我是小清新 //@Yihwei_Towne:以撒大的性格放卫生纸应该差不多。,0
10,"谁欺负双鱼座,俺就和他玩儿命!!![抓狂] //@重口味女秘书:双鱼座顶起 ...",0
11,刚才饿死，现在撑死，又没吃成火锅[泪],0
12,物以类聚，人以群分，今天我才知道，其实，我原本不该属于你！[衰],0
13,[泪]@宇过天新:【未能刊登出来的文字】7月22日，暴雨后，杜伟和哥哥找遍沿途的所有医院、派出所、灾民安置点，没有郑冬洁的消息。他们的报警求助被房山推给丰台，又由丰台推回房山；7月23日，哥俩儿守在京港澳高速救援现场，被告知不准拍照，不准录像，不准到高处，唯独没人告知“郑冬洁”在哪儿。,0
14,视觉角度的欺骗[晕],0
15,男朋友的责任[怒] 中枪的转。。。。。。众男人，看了以后还想找女朋友吗[偷笑],0
16,回复@李莹肖:最近各种晕~连好声音都忘记看了[悲伤] 睡~ //@李莹肖:师太和多亮相继离开。我也准备洗洗睡了。再也不稀罕庾大叔了[鄙视][鄙视][鄙视] //@张帆Claire:回复@李莹肖:哟！终于谈妥了[偷笑]  //@李莹肖: @张帆Claire,0
17,是金子在哪儿都吃光！//@深海2W:跪了！[泪] //@易水铖:md，真是神啊！！//@李开复: 给跪了！[威武],0
18,[黑线] //@周?喵: [衰][晕][生病],0
19,[怒] //@左小祖咒:[话筒] //@ziyewong://@靠江魏三: //@明可mk://@作家-天佑: 天杀的,0
20,感觉好高级[挖鼻屎]//@P2PBUCKS:回复@panpansusan: 将信息写道比特币数据块上 http://t.cn/8kcv8Eq//@panpansusan:这个题材真好，真希望我死的时候有人能帮我记录。[泪],0
21,好像被消失了。。[疑问][疑问] //@造型师张亭亭:对呀，好奇怪， @作业本  本本去哪里了？[思考][疑问] //@高珑珂: 被河蟹了吗…[晕][晕][晕][晕][晕],0
22,回复@行者橙子:万一点儿不正仲麽办？[悲伤]让P君再单独给莪买一张吧。。[害羞]然后你给写……[偷笑] //@行者橙子:还有很多机会呢，别着急,0
23,加建……[抓狂][抓狂][抓狂][抓狂],0
24,[蜡烛]//@王?波: 返京刚下飞机惊闻噩耗，痛心至极??[泪][泪][泪]！天妒英才??[蜡烛][蜡烛][蜡烛]!,0
25,//@小鱼MM00:[伤心][泪]@TZ斑大人 @果粒橙_cyx @菲比Febe//@周茫茫:[?]谁能告诉你什么叫不离不弃，生死相依[?],0
26,小丸子好像是我的同学啊！故乡一样，年龄也差不多[嘻嘻] //@桃子同学收心读书迎接大二了:静冈叔叔一定更喜欢小丸子[泪][泪][泪] //@静冈叔叔:回复@BrownLeo:来上海后很喜欢海贼王了[笑哈哈] //@BrownLeo:哈哈！静冈叔叔很喜欢海贼吗,0
27,回复@4诓而儿:按照活动规则，转发的多了，既有机会获得。 //@4诓而儿:为什么就是不赠我哦[泪] //@朱德?:谢谢 //@我的战友遍天下:爱情不是枷锁，相信爱情，相信《给爱情下个套》一定会大卖！,0
28,从来都要求带着镣铐跳舞。。。[晕]//@王福重: 我对敌我分明的理解是，八路军打入国军内部，也要穿八路军的衣服。,0
29,[泪]老师一路走好[心],0
30,开始一点一点整理办公室，才发现还有很多鸡毛蒜皮小事要处理掉。[晕]再把我劈成几瓣吧,0
31,你还挺能转换的。 //@百四之王:党发明了一头雾水，雾水遇到脏空气就化作雾霾，大家明白了吗？[偷笑][衰] //@潘石屹:我以为我自己识字不多呢，你们也听不懂。  //@任志强:来点实在的！,0
32,良心泯灭啊！！！[怒][怒] [怒],0
33,//@十月水晶鱼: 傻逼[怒]//@银河系中国://@追梦的迷网人:蛮横霸道。[怒]//@摆古论今://@逢庙烧香: 很惨！很震惊！ //@壹日壹说:卧槽[怒] //@杜楠爆料:转发微博,0
34,我又不争气的哭了…[泪]//@andy苗:真煽情 很高兴这个故事里有你们 @美味人生羊羊羊   @美味人生校?   @美味人生jackiepiao   @向尚看齐楠小姐   @向尚看齐小越越   @向尚看齐畅哥   @胡大姐seven,0
35,哈子，你????噻。[哼] //@CHEN颖儿:我去，老子真的要决人了[怒][怒][怒]@桑那那花开  //@陈峥嵘岁月: 太不是人了！@CHEN颖儿@叶桦-出走,0
36,//@宋涛灰太狼:天堂里有没有车来车往。[泪][伤心][蜡烛][蜡烛][蜡烛] // @戴粼清澈蓝境 :好女孩！你一定会去一个更美好的世界！,0
37,Mew和Tong竟然没有在一起，怎么能怎么能[抓狂],0
38,"[衰]oh, no!!! //@这里只有阳光灿烂:在美国听了十几年的古典音乐台也不见了。经典不再！不知芭蕾能撑多久？  //@作曲家陈钢:向古典音乐致哀！   //@姚伊为上海交响乐团:现在的上海，艺术等于被媒体炒作的毕加索，菜场般的双年展。",0
39,到底要把自己的内心修炼的多么强大，多么无坚不摧呀！勇气，勇气，刚找回来的一点勇气又瞬间消失了。[抓狂] //@艾凡：接受它，并努力改变自己，转了！,0
40,又到了每月一次的开奖日，两年多了，每月26号我都期盼着不再见到“审核通过”这四个字，结果今天又见到了。[泪],0
